epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8782,0.68974,2.36889,1.25922,0.72035,0.38207,0.57397,0.3902,1.04732,1.72972,1.64781,0.000297589,0.000297589,0.000297589
2,35.1489,0.71441,1.34663,1.2482,0.64819,0.42297,0.2621,0.20102,1.43503,1.56852,1.76628,0.00058077,0.00058077,0.00058077
3,48.0404,0.73334,1.28532,1.27161,0.57437,0.38735,0.2023,0.13308,2.39754,2.77999,2.91715,0.000843952,0.000843952,0.000843952
4,60.8462,0.75177,1.17857,1.28477,0.74831,0.37778,0.23029,0.12841,1.47022,2.34318,2.05918,0.000819009,0.000819009,0.000819009
5,73.6984,0.74404,1.13133,1.29582,0.85975,0.47778,0.40421,0.35024,0.62896,1.15384,1.04155,0.000789012,0.000789012,0.000789012
6,86.6001,0.75533,1.10773,1.27048,0.56813,0.56721,0.23567,0.1877,0.77296,1.61027,1.27772,0.000759015,0.000759015,0.000759015
7,99.5392,0.67628,1.00168,1.23192,0.72936,0.59662,0.51426,0.45656,0.50036,0.82007,0.77201,0.000729018,0.000729018,0.000729018
8,112.712,0.6912,0.97687,1.22473,0.76025,0.56667,0.69276,0.64865,0.57483,0.92315,0.91923,0.000699021,0.000699021,0.000699021
9,125.616,0.63597,0.88538,1.19635,0.72323,0.54483,0.45011,0.39977,0.47179,1.53609,0.77503,0.000669024,0.000669024,0.000669024
10,138.507,0.61692,0.85943,1.18545,0.78568,0.5493,0.66037,0.55024,0.48895,0.99129,0.8633,0.000639027,0.000639027,0.000639027
11,151.72,0.60527,0.87735,1.18308,0.54048,0.66131,0.66047,0.56131,0.45798,0.94405,0.79538,0.00060903,0.00060903,0.00060903
12,167.691,0.61979,0.81531,1.1877,0.73521,0.77329,0.59321,0.4512,0.48045,0.92869,0.76311,0.000579033,0.000579033,0.000579033
