epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2995,1.08319,2.31782,1.62517,0.45839,0.46134,0.44752,0.21294,1.72004,2.04661,3.00848,0.00033114,0.00033114,0.00033114
2,144.976,1.06657,1.60806,1.59337,0.48673,0.54428,0.47002,0.23601,1.61976,1.83503,2.36899,0.000642546,0.000642546,0.000642546
3,211.425,1.04616,1.47442,1.56811,0.5327,0.49853,0.55214,0.29325,1.58698,2.06734,2.45779,0.000931952,0.000931952,0.000931952
4,278.074,1.03819,1.4588,1.56188,0.56847,0.50052,0.49926,0.27378,1.43938,1.89814,2.15866,0.000901,0.000901,0.000901
5,342.983,0.99867,1.34711,1.52924,0.48447,0.62446,0.54928,0.35708,1.25977,1.59053,1.96908,0.000868,0.000868,0.000868
6,406.9,0.94918,1.2697,1.48786,0.5503,0.6587,0.6467,0.4194,1.22583,1.35544,1.85824,0.000835,0.000835,0.000835
7,471.285,0.91827,1.18485,1.46127,0.62853,0.58948,0.66002,0.41682,1.26011,1.58322,1.92572,0.000802,0.000802,0.000802
8,535.728,0.90369,1.14449,1.44429,0.65901,0.65218,0.69928,0.46749,1.17369,1.27216,1.79404,0.000769,0.000769,0.000769
9,600.539,0.8864,1.08289,1.42923,0.64334,0.64465,0.6983,0.46817,1.10975,1.42982,1.75914,0.000736,0.000736,0.000736
10,670.454,0.86899,1.03797,1.41314,0.69866,0.77308,0.80591,0.55198,1.11134,1.06807,1.75422,0.000703,0.000703,0.000703
11,743.627,0.85748,1.01816,1.41006,0.70464,0.66623,0.76686,0.53905,1.09173,1.13142,1.6965,0.00067,0.00067,0.00067
12,815.612,0.83497,0.96561,1.39463,0.82713,0.78392,0.84998,0.62157,1.01748,0.88303,1.62022,0.000637,0.000637,0.000637
13,886.236,0.82338,0.93029,1.37941,0.77276,0.60402,0.75954,0.53041,1.08056,1.25138,1.69385,0.000604,0.000604,0.000604
14,959.305,0.8256,0.92461,1.37548,0.74223,0.71061,0.79993,0.57113,1.07004,1.03737,1.67529,0.000571,0.000571,0.000571
15,1028.56,0.80935,0.8823,1.36373,0.77235,0.73109,0.83775,0.60922,0.99253,0.9322,1.57408,0.000538,0.000538,0.000538
16,1099.92,0.79856,0.87337,1.35743,0.82368,0.81,0.87714,0.64621,0.94921,0.76035,1.53869,0.000505,0.000505,0.000505
17,1169.57,0.77122,0.81856,1.33674,0.78571,0.82625,0.86894,0.63888,0.98366,0.84192,1.55693,0.000472,0.000472,0.000472
18,1239.46,0.76284,0.783,1.33019,0.81368,0.76711,0.82966,0.59273,1.01874,0.92871,1.60786,0.000439,0.000439,0.000439
19,1311.69,0.75299,0.77425,1.32354,0.79851,0.8778,0.87957,0.65962,0.95608,0.74879,1.54513,0.000406,0.000406,0.000406
20,1380.95,0.7446,0.74838,1.31098,0.80237,0.8269,0.86175,0.62791,1.00611,0.80534,1.60325,0.000373,0.000373,0.000373
21,109.94,nan,nan,nan,0.90094,0.8584,0.90905,0.66709,nan,nan,nan,0.00034,0.00034,0.00034
22,173.71,nan,nan,nan,0.91228,0.84109,0.90743,0.6686,nan,nan,nan,0.000307,0.000307,0.000307
23,237.442,nan,nan,nan,0.88857,0.8507,0.90471,0.66725,nan,nan,nan,0.000274,0.000274,0.000274
24,301.095,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000241,0.000241,0.000241
25,364.074,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000208,0.000208,0.000208
26,426.516,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000175,0.000175,0.000175
27,487.928,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000142,0.000142,0.000142
28,548.991,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000109,0.000109,0.000109
29,609.906,nan,nan,nan,0,0,0,0,nan,nan,nan,7.6e-05,7.6e-05,7.6e-05
30,671.027,nan,nan,nan,0,0,0,0,nan,nan,nan,4.3e-05,4.3e-05,4.3e-05
