epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9845,1.06291,2.70163,1.6004,0.35587,0.45953,0.379,0.17782,1.78646,2.29642,2.81683,0.00033114,0.00033114,0.00033114
2,134.595,1.0314,1.52245,1.55266,0.63533,0.52152,0.64012,0.30089,1.7704,1.70339,2.69896,0.000642546,0.000642546,0.000642546
3,197.436,1.01495,1.4204,1.53062,0.34712,0.44617,0.375,0.16113,2.00385,2.15214,3.50349,0.000931952,0.000931952,0.000931952
4,259.891,1.00592,1.41225,1.52793,0.72995,0.54648,0.66622,0.41677,1.28051,1.49974,2.01032,0.000901,0.000901,0.000901
5,322.359,0.97579,1.30446,1.50621,0.48579,0.61274,0.55229,0.32553,1.45373,1.60243,2.01921,0.000868,0.000868,0.000868
6,384.84,0.93663,1.21025,1.47001,0.6041,0.57114,0.60771,0.40115,1.16682,1.3473,1.77439,0.000835,0.000835,0.000835
7,447.452,0.90719,1.13331,1.44667,0.7441,0.64722,0.75426,0.52491,1.12915,1.11377,1.75772,0.000802,0.000802,0.000802
8,510.256,0.88959,1.10196,1.42702,0.63875,0.70227,0.72169,0.47673,1.17559,1.21694,1.78328,0.000769,0.000769,0.000769
9,573.149,0.87242,1.03959,1.41191,0.71354,0.73871,0.78777,0.54759,1.05987,1.05724,1.67813,0.000736,0.000736,0.000736
10,636.013,0.84484,0.99493,1.39382,0.81883,0.74408,0.85561,0.5984,1.09026,0.89071,1.72039,0.000703,0.000703,0.000703
11,698.751,0.84095,0.97455,1.39214,0.78462,0.76109,0.82136,0.58673,1.04707,0.93423,1.66118,0.00067,0.00067,0.00067
12,761.39,0.82288,0.91833,1.38153,0.7785,0.72891,0.8256,0.58422,1.06819,0.97822,1.66708,0.000637,0.000637,0.000637
13,823.799,0.8149,0.89943,1.36708,0.81648,0.79685,0.85869,0.61954,1.00232,0.85329,1.59404,0.000604,0.000604,0.000604
14,886.313,0.81563,0.88325,1.36376,0.8552,0.77723,0.87355,0.62562,1.0317,0.80776,1.63374,0.000571,0.000571,0.000571
15,948.962,0.78453,0.83219,1.34071,0.81081,0.82614,0.87962,0.6475,0.99197,0.79182,1.58909,0.000538,0.000538,0.000538
16,1011.54,0.78323,0.82356,1.33923,0.85852,0.77778,0.87882,0.64334,0.9767,0.78095,1.5735,0.000505,0.000505,0.000505
17,1074.32,0.75744,0.78299,1.32254,0.74466,0.80225,0.83116,0.60157,0.99419,0.90841,1.60064,0.000472,0.000472,0.000472
18,1137.31,0.75016,0.75188,1.31534,0.85941,0.80913,0.88694,0.65329,0.99178,0.77772,1.58192,0.000439,0.000439,0.000439
19,1200.01,0.74198,0.7361,1.31054,0.87819,0.7876,0.8775,0.63865,1.01688,0.75232,1.61879,0.000406,0.000406,0.000406
20,1262.31,0.72378,0.71632,1.29329,0.82951,0.81083,0.87524,0.6491,0.9969,0.75214,1.58522,0.000373,0.000373,0.000373
21,1368.33,0.69823,0.56252,1.43617,0.78364,0.78009,0.8322,0.60938,0.98405,0.83798,1.58011,0.00034,0.00034,0.00034
22,1430.78,0.67295,0.51534,1.40686,0.86837,0.80374,0.8757,0.6445,0.98276,0.75531,1.58547,0.000307,0.000307,0.000307
23,1493.13,0.65583,0.46941,1.38834,0.85647,0.82964,0.88935,0.66319,0.97776,0.70929,1.58666,0.000274,0.000274,0.000274
24,1555.73,0.63087,0.44052,1.36596,0.84339,0.82128,0.87614,0.65922,0.97867,0.75542,1.57877,0.000241,0.000241,0.000241
25,1617.99,0.61452,0.40858,1.34723,0.82554,0.84465,0.88229,0.66823,0.96148,0.70371,1.55323,0.000208,0.000208,0.000208
26,1680.47,0.60483,0.38098,1.33741,0.84889,0.81366,0.8801,0.66933,0.94748,0.71423,1.54776,0.000175,0.000175,0.000175
27,1742.93,0.57728,0.3545,1.30255,0.826,0.84239,0.87197,0.66447,0.95995,0.71139,1.59019,0.000142,0.000142,0.000142
28,1805.1,0.56863,0.35365,1.31797,0.87769,0.81468,0.88025,0.67902,0.92692,0.68676,1.54752,0.000109,0.000109,0.000109
29,1867.22,0.54596,0.3272,1.28127,0.86747,0.82386,0.88002,0.68357,0.92707,0.67521,1.53928,7.6e-05,7.6e-05,7.6e-05
30,1929.45,0.52998,0.31143,1.26433,0.83995,0.84512,0.88599,0.68393,0.92794,0.67288,1.54849,4.3e-05,4.3e-05,4.3e-05
